
Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:52:18 2024
Timers Off: Thu Nov  7 14:52:19 2024

Wall Time:        0.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:36:35 2024
Timers Off: Thu Nov  7 14:58:46 2024

Wall Time:     1331.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      0.417u      0.000s      0.261w     10 calls
| | | JK: J                         :      0.017u      0.000s      0.023w     10 calls
| | | | JK: J1                      :      0.000u      0.000s      0.013w     10 calls
| | | | JK: J2                      :      0.017u      0.000s      0.010w     10 calls
| | | JK: K                         :      0.400u      0.000s      0.234w     10 calls
| | | | JK: K1                      :      0.350u      0.000s      0.215w     10 calls
| | | | JK: K2                      :      0.050u      0.000s      0.019w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     10 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     10 calls
| HF: DIIS                          :      0.067u      0.017s      0.040w      9 calls
| HF: Form C                        :      0.017u      0.000s      0.015w      9 calls
SAPT: Monomer B SCF                 :      1.233u      0.050s      0.764w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.046w      2 calls
| HF: Form core H                   :      0.000u      0.000s      0.007w      1 calls
| HF: Form S/X                      :      0.017u      0.000s      0.002w      1 calls
| HF: Guess                         :      0.067u      0.017s      0.045w      1 calls
| | SAD Guess                       :      0.067u      0.017s      0.043w      1 calls
| HF: Form G                        :      0.383u      0.000s      0.245w     10 calls
| | JK: D                           :      0.000u      0.000s      0.000w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      0.383u      0.000s      0.244w     10 calls
| | | JK: J                         :      0.017u      0.000s      0.019w     10 calls
| | | | JK: J1                      :      0.000u      0.000s      0.009w     10 calls
| | | | JK: J2                      :      0.017u      0.000s      0.009w     10 calls
| | | JK: K                         :      0.367u      0.000s      0.222w     10 calls
| | | | JK: K1                      :      0.333u      0.000s      0.207w     10 calls
| | | | JK: K2                      :      0.033u      0.000s      0.015w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     10 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     10 calls
| HF: DIIS                          :      0.100u      0.000s      0.038w      9 calls
| HF: Form C                        :      0.017u      0.000s      0.015w      9 calls
OO DF Integrals                     :      0.517u      0.017s      0.333w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.049w      4 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10                              :      0.000u      0.000s      0.002w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.001w      1 calls
SAPT0: DF Integrals                 :      0.583u      0.100s      0.404w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.048w      4 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.001w      1 calls
SAPT0: Ind20                        :      0.200u      0.083s      0.177w      1 calls
SAPT0: Exch-Ind20                   :      0.017u      0.000s      0.009w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.033u      0.033s      0.036w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.217u      0.033s      0.158w      1 calls
JK: (A|mn)                          :      0.183u      0.000s      0.095w      9 calls
JK: (A|Q)^-1/2                      :      0.100u      0.000s      0.078w      9 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      9 calls
JK: (Q|mn)                          :      0.050u      0.000s      0.010w      9 calls
ccenergy                            :      1.267u      1.483s      1.986w      9 calls
| F build                           :      0.100u      0.033s      0.094w     91 calls
| Wmbej build                       :      0.233u      0.100s      0.184w     91 calls
| | C->Wmbej                        :      0.000u      0.000s      0.008w     91 calls
| | F->Wmbej                        :      0.150u      0.083s      0.108w     91 calls
| | E->Wmbej                        :      0.067u      0.017s      0.025w     91 calls
| | X->Wmbej                        :      0.017u      0.000s      0.034w     91 calls
| Z                                 :      0.017u      0.000s      0.014w     91 calls
| T2 Build                          :      0.400u      0.417s      0.534w     91 calls
| | BT2                             :      0.167u      0.333s      0.324w     91 calls
| | | ABCD:new                      :      0.167u      0.333s      0.324w     91 calls
| | | | ABCD:S                      :      0.050u      0.050s      0.029w     91 calls
| | | | ABCD:A                      :      0.017u      0.050s      0.029w     91 calls
| | | | ABCD:axpy                   :      0.100u      0.233s      0.250w     91 calls
| | FT2                             :      0.000u      0.000s      0.018w     91 calls
| | WmbejT2                         :      0.033u      0.050s      0.048w     91 calls
| | CT2                             :      0.100u      0.033s      0.082w     91 calls
cctriples                           :      0.500u      0.150s      0.435w      9 calls
| ET_RHF                            :      0.500u      0.083s      0.342w      9 calls

**************************************************************************************

Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 15:06:51 2024
Timers Off: Thu Nov  7 15:06:51 2024

Wall Time:        0.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
